
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
2601,-1.584,-9.917,-237.908,9.278
2605,-1.395,-5.589,969.589,9.061
2610,-1.207,-4.871,161.176,9.090
2615,-1.006,-2.123,616.164,9.289
2619,-0.815,-2.642,-116.596,9.140
2624,-0.653,-5.123,-556.259,8.391
2628,-0.472,-1.138,890.244,8.630
2632,-0.299,-2.054,-206.313,8.659
2637,-0.123,-2.413,-80.588,9.008
2641,0.066,0.068,562.311,9.310
2645,0.248,-0.024,-20.762,9.179
2650,0.443,1.984,457.111,9.584
2654,0.654,2.358,84.473,10.450
2659,0.831,3.144,178.371,8.851
2664,1.016,1.938,-272.136,9.638
2668,1.197,2.564,140.601,9.544
2672,1.351,0.381,-493.046,8.771
2677,1.533,4.770,988.584,9.427
2681,1.708,7.701,660.798,8.620
2685,1.879,7.946,55.316,8.539
2690,2.045,6.785,-264.186,8.731
2694,2.212,7.274,109.935,8.811
2699,2.382,7.350,17.193,9.086
2704,2.553,9.526,494.898,8.913
2708,2.733,12.335,634.408,8.876
2712,2.920,12.999,148.507,9.219
2717,3.092,10.686,-519.537,9.209
2721,3.270,11.671,220.003,9.408
2725,3.463,14.556,648.135,9.733
2730,3.663,15.511,213.563,10.084
2734,3.841,16.388,194.562,8.947
2738,4.021,13.144,-728.069,9.955
2744,4.189,14.923,397.015,9.149
2748,4.359,15.648,162.162,9.246
2753,4.528,18.740,690.090,8.719
2757,4.681,14.511,-945.664,8.976
2761,4.818,13.594,-203.382,8.524
2766,4.960,16.991,757.570,8.201
2770,5.111,20.045,684.013,8.134
2774,5.256,19.243,-179.393,8.157
2779,5.413,21.686,544.770,8.318
2784,5.578,24.480,624.753,8.305
2789,5.732,21.923,-573.375,8.468
2793,5.872,23.121,265.619,7.620
2797,6.030,24.404,286.771,8.431
2802,6.178,24.266,-30.780,8.122
2806,6.313,24.678,92.590,7.563
2810,6.449,24.862,41.337,7.731
2815,6.580,23.297,-353.407,7.933
2819,6.717,25.106,403.830,7.922
2823,6.852,26.976,417.835,7.539
2829,6.987,28.610,364.640,7.341
2833,7.102,29.045,97.211,6.365
2838,7.217,29.457,93.009,6.433
2842,7.317,26.136,-749.912,6.560
2846,7.406,30.411,949.958,5.031
2851,7.487,28.022,-536.201,5.383
2855,7.591,31.404,754.839,5.755
2859,7.691,32.854,324.035,5.385
2864,7.769,30.587,-507.880,4.913
2868,7.845,28.656,-432.251,5.311
2873,7.923,30.572,426.543,4.994
2878,7.986,31.892,295.570,4.094
2882,8.053,29.243,-596.052,4.977
2887,8.136,32.808,796.444,5.008
